id,name,scientific_name,classification,habitat,diet,conservation_status,region
28,Jason Puma,Levine Powers,Amphibian,Grasslands,Herbivore,Endangered,Asia
29,Jill Shark,Drake Wilson,Mammal,Desert,Carnivore,Endangered,Australia
30,Teresa Owl,Garcia Woods,Mammal,Rivers,Carnivore,Critically Endangered,Africa
31,Virginia Bear,Duncan Buck,Amphibian,Ocean,Omnivore,Vulnerable,North America
32,Kristen Puma,Sanders Molina,Fish,Rivers,Carnivore,Endangered,Asia
33,Stephen Owl,Lopez Burton,Mammal,Wetlands,Carnivore,Vulnerable,Asia
34,Patrick Python,Palmer Guzman,Reptile,Desert,Carnivore,Endangered,Asia
35,Jerry Puma,Dennis Smith,Reptile,Desert,Herbivore,Endangered,North America
36,John Owl,Jenkins Gray,Reptile,Mountains,Herbivore,Vulnerable,Australia
37,Brian Owl,Thompson Cervantes,Fish,Savannah,Carnivore,Least Concern,Worldwide
38,Amy Bear,Kelly Collier,Fish,Grasslands,Herbivore,Endangered,Europe
39,Steven Bear,Mcclain Gregory,Bird,Ocean,Carnivore,Near Threatened,Asia
40,Lauren Puma,Moore Williams,Fish,Savannah,Carnivore,Vulnerable,North America
41,Kevin Eagle,Davenport Stephenson,Bird,Grasslands,Herbivore,Vulnerable,Worldwide
42,Ashley Wolf,Alvarado Moreno,Bird,Rivers,Herbivore,Endangered,Asia
43,James Falcon,Wilkins Campos,Fish,Wetlands,Omnivore,Vulnerable,Africa
44,Rhonda Tiger,Garcia Fitzgerald,Fish,Grasslands,Carnivore,Endangered,Europe
45,Stephanie Bear,Lewis Vaughn,Fish,Mountains,Carnivore,Least Concern,Worldwide
46,Jennifer Falcon,Allen Landry,Fish,Mountains,Carnivore,Near Threatened,Asia
47,Samuel Bear,Phillips Mann,Fish,Forest,Herbivore,Vulnerable,North America
48,Amy Tiger,Reynolds Salazar,Bird,Rivers,Carnivore,Near Threatened,North America
49,Joseph Shark,Perez Tanner,Bird,Ocean,Carnivore,Vulnerable,Australia
50,Jean Eagle,Robertson Jordan,Mammal,Grasslands,Carnivore,Least Concern,Africa
51,Carrie Wolf,Vega Perkins,Bird,Ocean,Omnivore,Endangered,Worldwide
52,Elizabeth Python,French Stephens,Mammal,Wetlands,Carnivore,Near Threatened,Europe
53,Sean Python,Bauer Howe,Amphibian,Rivers,Omnivore,Least Concern,Asia
54,Kimberly Eagle,Acosta Gonzalez,Bird,Grasslands,Carnivore,Critically Endangered,South America
55,Cameron Shark,Gardner Ferguson,Bird,Wetlands,Carnivore,Endangered,Europe
56,Ryan Crocodile,Larsen Johnson,Amphibian,Caves,Omnivore,Critically Endangered,North America
57,Denise Owl,Wyatt Guzman,Mammal,Forest,Carnivore,Least Concern,Antarctica
58,Lori Python,Olson Murphy,Mammal,Mountains,Carnivore,Near Threatened,Antarctica
59,Monica Python,Allen King,Amphibian,Ocean,Omnivore,Critically Endangered,Antarctica
60,John Eagle,Green Collins,Bird,Wetlands,Herbivore,Critically Endangered,Africa
61,Sarah Wolf,Anderson Fisher,Amphibian,Rivers,Omnivore,Endangered,Europe
62,David Lizard,Camacho Smith,Fish,Wetlands,Herbivore,Critically Endangered,Europe
63,Jasmine Wolf,Pierce Hayes,Fish,Mountains,Herbivore,Least Concern,Europe
64,Brent Eagle,Martinez Thompson,Amphibian,Wetlands,Omnivore,Endangered,Worldwide
65,Maurice Shark,Travis Tucker,Fish,Desert,Omnivore,Endangered,Europe
66,Kyle Falcon,Joyce Gutierrez,Fish,Caves,Omnivore,Endangered,South America
67,Jennifer Bear,Jones Rodriguez,Reptile,Caves,Herbivore,Near Threatened,Antarctica
68,Kevin Falcon,Douglas Davis,Mammal,Wetlands,Herbivore,Endangered,Worldwide
69,Daniel Bear,Orozco Guzman,Reptile,Forest,Omnivore,Near Threatened,Europe
70,Christopher Bear,Savage Page,Fish,Ocean,Carnivore,Endangered,Africa
71,Stephen Wolf,Underwood Lee,Mammal,Ocean,Herbivore,Vulnerable,South America
72,Trevor Tiger,Henderson Vazquez,Amphibian,Desert,Herbivore,Critically Endangered,Worldwide
73,Andrea Crocodile,Owens Baker,Reptile,Tundra,Herbivore,Critically Endangered,Antarctica
74,Maria Crocodile,Norman Burns,Fish,Desert,Omnivore,Least Concern,South America
75,Joshua Owl,Porter Terry,Mammal,Grasslands,Herbivore,Critically Endangered,Antarctica
76,Carmen Eagle,Torres Hood,Reptile,Savannah,Herbivore,Near Threatened,Worldwide
77,Richard Eagle,Thomas Bright,Bird,Grasslands,Carnivore,Endangered,Antarctica
78,Victoria Shark,Wagner Gilbert,Reptile,Forest,Herbivore,Endangered,Asia
79,Jose Shark,Cox White,Fish,Caves,Carnivore,Near Threatened,Worldwide
80,Christopher Python,Moore Shepard,Reptile,Wetlands,Herbivore,Critically Endangered,South America
81,Jon Tiger,Farmer Kelly,Mammal,Ocean,Herbivore,Critically Endangered,Australia
82,Amy Python,Smith Moss,Fish,Grasslands,Herbivore,Least Concern,Europe
83,Alvin Tiger,Dudley Butler,Fish,Desert,Omnivore,Near Threatened,South America
84,Jennifer Bear,Smith Richard,Amphibian,Wetlands,Omnivore,Near Threatened,Worldwide
85,Rachel Tiger,Fisher Larsen,Bird,Forest,Herbivore,Least Concern,Worldwide
86,Wesley Crocodile,Martin Cardenas,Mammal,Rivers,Carnivore,Endangered,South America
87,Alicia Shark,Williams Nelson,Bird,Forest,Carnivore,Critically Endangered,Worldwide
88,Amanda Puma,White Brown,Mammal,Grasslands,Carnivore,Vulnerable,Worldwide
89,Rebecca Shark,Young Armstrong,Reptile,Rivers,Carnivore,Least Concern,Europe
90,Jill Lizard,Kane White,Reptile,Savannah,Herbivore,Vulnerable,Africa
91,Donald Owl,Long Gutierrez,Bird,Wetlands,Carnivore,Near Threatened,North America
92,David Shark,Lambert Sanders,Bird,Tundra,Carnivore,Near Threatened,Asia
93,Frank Wolf,Dominguez Juarez,Mammal,Grasslands,Herbivore,Near Threatened,Australia
94,Matthew Owl,Simmons Heath,Fish,Grasslands,Herbivore,Vulnerable,Worldwide
95,Sandra Crocodile,Vargas Robinson,Amphibian,Tundra,Herbivore,Vulnerable,Europe
96,Cindy Owl,Davis Parsons,Mammal,Ocean,Herbivore,Critically Endangered,Antarctica
97,Keith Bear,Brown Nichols,Mammal,Tundra,Herbivore,Critically Endangered,Worldwide
98,Benjamin Wolf,Perez Blackburn,Mammal,Rivers,Carnivore,Endangered,Worldwide
99,Steven Eagle,Lewis Cowan,Bird,Mountains,Omnivore,Endangered,Europe
100,Elizabeth Owl,Grant Ayala,Amphibian,Mountains,Carnivore,Near Threatened,South America
101,Eric Python,Owens Ferguson,Mammal,Rivers,Omnivore,Endangered,North America
102,Michael Falcon,Edwards Decker,Mammal,Forest,Herbivore,Vulnerable,South America
103,Rhonda Lizard,Daniels Wood,Bird,Rivers,Omnivore,Near Threatened,Asia
104,John Puma,Murillo Dunn,Mammal,Mountains,Omnivore,Endangered,Worldwide
105,Anthony Falcon,Hill Cooper,Bird,Rivers,Carnivore,Critically Endangered,Asia
106,Melinda Eagle,Hensley Pratt,Amphibian,Rivers,Omnivore,Critically Endangered,South America
107,Megan Falcon,Jacobs Mcdonald,Fish,Wetlands,Carnivore,Least Concern,Australia
108,Debra Lizard,Richardson Weber,Reptile,Grasslands,Omnivore,Near Threatened,Asia
109,Vincent Bear,Miller Smith,Amphibian,Tundra,Carnivore,Near Threatened,North America
110,Terry Crocodile,Johnson Ross,Fish,Rivers,Carnivore,Critically Endangered,Antarctica
111,Pamela Puma,Martinez Carter,Reptile,Caves,Carnivore,Critically Endangered,Australia
112,Ryan Tiger,Cervantes Ayala,Fish,Savannah,Herbivore,Critically Endangered,North America
113,Curtis Bear,Fisher Owens,Reptile,Savannah,Omnivore,Near Threatened,Antarctica
114,Sharon Bear,Houston Johnson,Amphibian,Mountains,Carnivore,Endangered,South America
115,Destiny Python,Li Salazar,Bird,Wetlands,Omnivore,Least Concern,Worldwide
116,Megan Bear,Wallace Nunez,Reptile,Caves,Herbivore,Vulnerable,South America
117,Scott Shark,Hughes Marquez,Bird,Desert,Carnivore,Vulnerable,Antarctica
118,Robert Falcon,Banks Wilson,Bird,Tundra,Omnivore,Least Concern,Europe
119,Richard Shark,Cordova Neal,Fish,Grasslands,Omnivore,Least Concern,Worldwide
120,Lisa Python,Clark Hampton,Amphibian,Caves,Carnivore,Vulnerable,South America
121,Larry Falcon,Nguyen Arellano,Mammal,Desert,Omnivore,Endangered,Europe
122,Amanda Crocodile,Torres Montoya,Reptile,Desert,Carnivore,Vulnerable,Africa
123,Nicholas Bear,Rios Burke,Reptile,Desert,Omnivore,Critically Endangered,South America
124,Heather Eagle,Bradley Alexander,Bird,Desert,Carnivore,Vulnerable,Worldwide
125,Elizabeth Tiger,Smith Griffin,Reptile,Forest,Carnivore,Endangered,Africa
126,Edward Shark,Harris Downs,Reptile,Mountains,Herbivore,Endangered,South America
127,Julia Puma,Campbell Little,Reptile,Grasslands,Omnivore,Least Concern,South America
128,Anne Shark,Cox Murphy,Amphibian,Grasslands,Carnivore,Critically Endangered,North America
129,Michael Eagle,Clark Estrada,Reptile,Grasslands,Carnivore,Vulnerable,Antarctica
130,Christine Eagle,Martinez Pratt,Amphibian,Wetlands,Carnivore,Vulnerable,Australia
131,Donna Crocodile,Weeks Griffith,Fish,Savannah,Omnivore,Critically Endangered,North America
132,George Owl,Vasquez Chase,Reptile,Wetlands,Omnivore,Critically Endangered,Antarctica
133,Michael Tiger,Marshall Hancock,Reptile,Caves,Carnivore,Near Threatened,South America
134,Jesse Owl,Fields Hanson,Fish,Desert,Herbivore,Critically Endangered,North America
135,Misty Falcon,Jensen Castro,Mammal,Tundra,Omnivore,Vulnerable,North America
136,Arthur Tiger,Bennett Hartman,Bird,Forest,Herbivore,Vulnerable,Europe
137,Kristine Crocodile,Nguyen Peters,Bird,Wetlands,Omnivore,Near Threatened,Asia
138,Beverly Bear,Williams Weaver,Bird,Grasslands,Omnivore,Critically Endangered,Worldwide
139,Bryan Owl,Underwood Graham,Bird,Forest,Carnivore,Least Concern,Africa
140,Samantha Python,Schroeder Ramirez,Bird,Desert,Carnivore,Near Threatened,South America
141,Christopher Falcon,Perez Washington,Mammal,Rivers,Carnivore,Critically Endangered,Worldwide
142,David Bear,Bauer Burke,Mammal,Mountains,Carnivore,Vulnerable,Africa
143,Jerry Bear,Krause Mullins,Mammal,Tundra,Carnivore,Least Concern,Antarctica
144,Melinda Crocodile,Sanders Jenkins,Fish,Forest,Carnivore,Vulnerable,Australia
145,Erika Bear,Williams Roberts,Bird,Forest,Carnivore,Vulnerable,Europe
146,Jennifer Shark,Wang Young,Bird,Wetlands,Herbivore,Vulnerable,Worldwide
147,Bryan Owl,Friedman Lambert,Bird,Ocean,Omnivore,Least Concern,Africa
148,Jeremy Bear,Schmidt Hood,Amphibian,Savannah,Carnivore,Endangered,Europe
149,Donna Owl,Cook Allen,Bird,Caves,Herbivore,Least Concern,Asia
150,Rachel Falcon,Hickman Watson,Bird,Caves,Carnivore,Least Concern,Asia
151,Jennifer Shark,Miranda Long,Bird,Tundra,Omnivore,Critically Endangered,North America
152,John Shark,Terry Dixon,Amphibian,Tundra,Herbivore,Endangered,North America
153,Janice Crocodile,Rodriguez Cruz,Mammal,Tundra,Carnivore,Critically Endangered,Australia
154,Rebecca Owl,Fowler Hughes,Fish,Mountains,Omnivore,Endangered,Europe
155,John Falcon,Swanson Leon,Reptile,Caves,Omnivore,Vulnerable,Australia
156,Kayla Falcon,Moss Young,Fish,Mountains,Carnivore,Least Concern,South America
157,Erik Crocodile,Davis Tucker,Fish,Savannah,Omnivore,Least Concern,Australia
158,Scott Wolf,Spence Graham,Reptile,Forest,Carnivore,Near Threatened,Asia
159,Stephen Crocodile,Barr Carney,Fish,Forest,Omnivore,Vulnerable,Worldwide
160,David Shark,Lambert Joseph,Bird,Mountains,Herbivore,Vulnerable,Africa
161,Crystal Wolf,Morris Ellis,Bird,Rivers,Omnivore,Least Concern,North America
162,Sean Crocodile,Price Elliott,Reptile,Savannah,Omnivore,Near Threatened,Australia
163,Alex Falcon,Wagner Hester,Fish,Wetlands,Herbivore,Endangered,South America
164,Michelle Lizard,Mccormick Duran,Mammal,Forest,Carnivore,Least Concern,Antarctica
165,Tara Eagle,Baker Baker,Bird,Rivers,Herbivore,Least Concern,Africa
166,John Owl,Navarro Roth,Fish,Desert,Herbivore,Least Concern,Australia
167,Robert Puma,Mcmahon Fowler,Mammal,Grasslands,Carnivore,Critically Endangered,Worldwide
168,Christopher Bear,Henson Mason,Amphibian,Caves,Herbivore,Critically Endangered,Europe
169,Karen Puma,Smith Frost,Amphibian,Rivers,Omnivore,Endangered,Antarctica
170,Dustin Wolf,Wilson Gonzalez,Amphibian,Grasslands,Omnivore,Near Threatened,Africa
171,Jerry Owl,Frazier Jennings,Fish,Savannah,Herbivore,Least Concern,South America
172,Jeffery Tiger,Cruz Cook,Reptile,Tundra,Omnivore,Critically Endangered,Europe
173,Johnny Python,Doyle Davis,Mammal,Ocean,Omnivore,Near Threatened,South America
174,Paul Eagle,Torres Gray,Amphibian,Grasslands,Omnivore,Critically Endangered,Asia
175,Sara Crocodile,Hess Ferguson,Reptile,Grasslands,Carnivore,Endangered,Worldwide
176,Brandon Falcon,Fuentes Smith,Fish,Desert,Herbivore,Least Concern,Australia
177,Emily Eagle,Smith Little,Amphibian,Rivers,Herbivore,Near Threatened,Antarctica
178,Tanya Eagle,Phillips Harmon,Bird,Savannah,Herbivore,Least Concern,Asia
179,Derrick Eagle,Hayes Smith,Mammal,Ocean,Herbivore,Near Threatened,Worldwide
180,Penny Tiger,Kelly Neal,Fish,Wetlands,Herbivore,Critically Endangered,South America
181,Brooke Lizard,Turner Whitaker,Mammal,Tundra,Herbivore,Endangered,Antarctica
182,John Tiger,Stanley Cox,Bird,Ocean,Herbivore,Critically Endangered,Asia
183,Michael Python,Torres Martinez,Reptile,Wetlands,Herbivore,Endangered,Africa
184,Vicki Puma,Johnson Hill,Fish,Caves,Carnivore,Vulnerable,North America
185,Pamela Lizard,Johnson Sawyer,Bird,Grasslands,Carnivore,Critically Endangered,Worldwide
186,Jonathan Falcon,Blanchard Fletcher,Fish,Rivers,Herbivore,Near Threatened,South America
187,Kyle Owl,Anderson Rice,Reptile,Ocean,Carnivore,Critically Endangered,North America
188,Jerry Shark,Wells Williams,Bird,Ocean,Omnivore,Vulnerable,Europe
189,Jacqueline Bear,Stafford Livingston,Fish,Caves,Omnivore,Least Concern,Australia
190,Dana Lizard,Massey Morales,Bird,Grasslands,Herbivore,Vulnerable,Europe
191,Melissa Shark,Cortez Jackson,Reptile,Wetlands,Herbivore,Least Concern,Australia
192,Francisco Wolf,Gordon House,Fish,Caves,Herbivore,Critically Endangered,Worldwide
193,Joshua Eagle,Morton Conner,Reptile,Mountains,Herbivore,Critically Endangered,Worldwide
194,Kristen Lizard,Cole Fisher,Fish,Caves,Carnivore,Near Threatened,North America
195,Anita Eagle,Lee Rice,Mammal,Desert,Herbivore,Vulnerable,South America
196,Colleen Tiger,Carlson Boyle,Amphibian,Desert,Carnivore,Endangered,Antarctica
197,April Eagle,Jones Foster,Bird,Savannah,Omnivore,Near Threatened,South America
198,Tracey Lizard,Jones Nelson,Mammal,Forest,Herbivore,Endangered,Australia
199,Matthew Crocodile,Mitchell Taylor,Fish,Forest,Herbivore,Near Threatened,Asia
200,Kendra Crocodile,Hernandez Ruiz,Fish,Rivers,Carnivore,Endangered,South America
201,Nicole Eagle,Ellis Simpson,Reptile,Wetlands,Herbivore,Critically Endangered,Worldwide
202,John Shark,Swanson Baldwin,Reptile,Forest,Omnivore,Least Concern,Asia
203,Andrew Falcon,Miller Guerra,Mammal,Ocean,Herbivore,Critically Endangered,Asia
204,Samantha Tiger,White Burgess,Bird,Desert,Omnivore,Least Concern,South America
205,Tracey Shark,Watts Avila,Bird,Savannah,Carnivore,Least Concern,Asia
206,Alexander Eagle,Burns Flores,Mammal,Rivers,Carnivore,Endangered,South America
207,Terri Eagle,Turner Cole,Fish,Tundra,Herbivore,Vulnerable,Australia
208,Tonya Python,Boyd Conner,Amphibian,Savannah,Herbivore,Near Threatened,Europe
209,Jessica Bear,Todd Thomas,Amphibian,Forest,Carnivore,Vulnerable,Africa
210,Robert Falcon,Nelson Smith,Mammal,Desert,Herbivore,Vulnerable,Asia
211,Mary Falcon,Luna Mayer,Mammal,Rivers,Carnivore,Near Threatened,Australia
212,Eddie Crocodile,Combs Smith,Bird,Grasslands,Carnivore,Endangered,Australia
213,Brenda Owl,Gardner Dickerson,Amphibian,Wetlands,Omnivore,Critically Endangered,Africa
214,Jennifer Shark,Day Greene,Reptile,Tundra,Omnivore,Near Threatened,Australia
215,Diana Crocodile,Nelson Vasquez,Reptile,Desert,Omnivore,Endangered,South America
216,Jamie Shark,Medina Edwards,Fish,Grasslands,Omnivore,Critically Endangered,Europe
217,Connie Eagle,Norris Reynolds,Fish,Savannah,Omnivore,Near Threatened,Europe
218,Hannah Wolf,Ochoa Williams,Bird,Desert,Carnivore,Near Threatened,Africa
219,Sandra Python,Gonzalez Smith,Fish,Mountains,Herbivore,Vulnerable,North America
220,Kimberly Lizard,Roberts Decker,Mammal,Rivers,Carnivore,Critically Endangered,South America
221,Madison Owl,Edwards Livingston,Mammal,Grasslands,Omnivore,Endangered,Africa
222,Thomas Python,Baker Alexander,Reptile,Wetlands,Omnivore,Endangered,Africa
223,Julie Lizard,Charles Keller,Fish,Tundra,Omnivore,Vulnerable,Africa
224,Janet Falcon,Freeman Mcdonald,Mammal,Ocean,Omnivore,Least Concern,Australia
225,Andrew Falcon,Thomas Watts,Bird,Desert,Omnivore,Vulnerable,Asia
226,Jeffrey Eagle,Baxter Johnson,Fish,Grasslands,Carnivore,Critically Endangered,North America
227,George Owl,Chavez Anderson,Bird,Desert,Omnivore,Critically Endangered,Australia
228,Lauren Owl,Larson Snyder,Fish,Rivers,Omnivore,Endangered,Africa
229,Daniel Bear,Leach Friedman,Bird,Caves,Omnivore,Least Concern,Africa
230,Dylan Puma,Martinez Dominguez,Reptile,Caves,Herbivore,Critically Endangered,Antarctica
231,Victoria Bear,Fitzgerald Greer,Reptile,Grasslands,Carnivore,Near Threatened,North America
232,Deborah Eagle,Weber Hensley,Mammal,Tundra,Herbivore,Endangered,Europe
233,Ryan Wolf,Johnston Brown,Bird,Rivers,Omnivore,Near Threatened,Worldwide
234,Lydia Falcon,Salas Evans,Amphibian,Caves,Omnivore,Critically Endangered,Europe
235,Devin Lizard,Rose Mcdowell,Reptile,Wetlands,Herbivore,Vulnerable,Asia
236,Cindy Wolf,Giles Monroe,Reptile,Grasslands,Herbivore,Least Concern,North America
237,Connie Eagle,Reed Booker,Amphibian,Grasslands,Carnivore,Least Concern,Africa
238,Ronald Wolf,Doyle Wolfe,Reptile,Desert,Omnivore,Endangered,Africa
239,Mark Bear,Tran Clarke,Reptile,Wetlands,Herbivore,Endangered,Antarctica
240,Cindy Python,Meyer Ware,Fish,Tundra,Omnivore,Critically Endangered,Australia
241,Alec Wolf,Hall Thomas,Reptile,Grasslands,Herbivore,Vulnerable,North America
242,David Bear,Rosario Thomas,Amphibian,Wetlands,Carnivore,Critically Endangered,Australia
243,Nancy Puma,Schneider Wilkerson,Amphibian,Desert,Carnivore,Near Threatened,Antarctica
244,Thomas Owl,Gray Shaffer,Bird,Desert,Omnivore,Critically Endangered,North America
245,Carol Owl,Wallace Jones,Reptile,Wetlands,Carnivore,Critically Endangered,Australia
246,Timothy Shark,Glover Lee,Bird,Mountains,Herbivore,Vulnerable,Australia
247,Lisa Tiger,Coleman Fernandez,Bird,Grasslands,Carnivore,Endangered,Antarctica
248,Eric Shark,Rodriguez Bennett,Bird,Ocean,Herbivore,Critically Endangered,Worldwide
249,Steven Shark,Howard Pope,Amphibian,Wetlands,Herbivore,Least Concern,North America
250,Eric Eagle,Turner Ford,Mammal,Savannah,Carnivore,Critically Endangered,Africa
251,Meagan Shark,Poole Foster,Amphibian,Grasslands,Carnivore,Vulnerable,North America
252,Lindsey Lizard,Washington Carroll,Fish,Mountains,Omnivore,Vulnerable,North America
253,Nicolas Eagle,Rodriguez Whitaker,Fish,Savannah,Herbivore,Least Concern,South America
254,Karen Falcon,Kidd Simmons,Reptile,Wetlands,Omnivore,Endangered,Australia
255,Michael Owl,Smith Murphy,Bird,Ocean,Herbivore,Near Threatened,North America
256,Crystal Eagle,Johnson Smith,Bird,Wetlands,Herbivore,Critically Endangered,Worldwide
257,Michael Owl,Madden Mullins,Amphibian,Forest,Carnivore,Near Threatened,Worldwide
258,Frank Falcon,Lee Thomas,Amphibian,Tundra,Carnivore,Near Threatened,Antarctica
259,Eugene Owl,Gould Torres,Fish,Wetlands,Herbivore,Least Concern,Worldwide
260,Margaret Eagle,Brown Hayes,Fish,Tundra,Herbivore,Endangered,Worldwide
261,Ashley Lizard,Kim Lee,Fish,Grasslands,Omnivore,Critically Endangered,South America
262,Andrea Falcon,Dominguez Craig,Amphibian,Savannah,Carnivore,Least Concern,Africa
263,Derek Shark,Morris Gregory,Fish,Desert,Herbivore,Vulnerable,Worldwide
264,Michael Bear,Lopez Cruz,Reptile,Grasslands,Omnivore,Near Threatened,Asia
265,Meghan Shark,Lester Lyons,Fish,Rivers,Omnivore,Least Concern,Antarctica
266,Edgar Eagle,Smith Anderson,Reptile,Wetlands,Herbivore,Least Concern,Africa
267,Joshua Lizard,Cooper Wells,Mammal,Wetlands,Omnivore,Critically Endangered,Europe
268,Holly Bear,Mata Myers,Reptile,Grasslands,Herbivore,Critically Endangered,Antarctica
269,Felicia Tiger,Hernandez Liu,Amphibian,Mountains,Herbivore,Endangered,Europe
270,Betty Crocodile,Collins Henson,Mammal,Wetlands,Carnivore,Critically Endangered,Worldwide
271,Troy Falcon,Scott Garrett,Amphibian,Forest,Omnivore,Least Concern,Antarctica
272,Courtney Shark,Wheeler Haley,Amphibian,Caves,Omnivore,Vulnerable,North America
273,Walter Python,Bates Roberts,Mammal,Forest,Omnivore,Vulnerable,Worldwide
274,Ruth Crocodile,White Griffith,Mammal,Ocean,Herbivore,Critically Endangered,Worldwide
275,Ashley Wolf,Peterson Henry,Reptile,Ocean,Herbivore,Vulnerable,Australia
276,Beth Bear,Diaz Hernandez,Reptile,Rivers,Omnivore,Near Threatened,Worldwide
277,Stephen Crocodile,Velez Dillon,Fish,Caves,Omnivore,Endangered,North America
278,Brian Shark,Hunt Klein,Amphibian,Savannah,Carnivore,Critically Endangered,Africa
279,Kelli Python,Johnson Bailey,Fish,Mountains,Herbivore,Least Concern,South America
280,Nicole Puma,Thomas Smith,Fish,Grasslands,Omnivore,Critically Endangered,Europe
281,Jason Shark,Hensley Harrington,Mammal,Grasslands,Herbivore,Near Threatened,Africa
282,Robert Owl,Nichols Ellis,Fish,Wetlands,Herbivore,Vulnerable,Africa
283,Jennifer Falcon,Hodges Jackson,Amphibian,Grasslands,Herbivore,Endangered,Africa
284,Susan Python,Andrews Schmitt,Bird,Desert,Carnivore,Endangered,South America
285,Michael Tiger,Rodriguez Doyle,Reptile,Grasslands,Omnivore,Endangered,Australia
286,Dave Crocodile,Williams Brown,Reptile,Savannah,Herbivore,Critically Endangered,Africa
287,Kimberly Owl,Gross Raymond,Reptile,Forest,Herbivore,Vulnerable,Australia
288,David Lizard,Howard Walker,Reptile,Rivers,Carnivore,Least Concern,Worldwide
289,Krista Owl,Moore Wood,Reptile,Wetlands,Herbivore,Vulnerable,Asia
290,Jeffrey Tiger,Pacheco Harris,Amphibian,Tundra,Omnivore,Endangered,Asia
291,Brent Shark,Ruiz Oliver,Amphibian,Desert,Herbivore,Least Concern,North America
292,Stacey Eagle,Miller Williams,Reptile,Grasslands,Omnivore,Critically Endangered,Asia
293,Derek Puma,Dunlap Glover,Amphibian,Wetlands,Herbivore,Critically Endangered,Antarctica
294,Elizabeth Eagle,Kane Arias,Reptile,Tundra,Herbivore,Least Concern,Australia
295,Richard Bear,Hays Hess,Fish,Grasslands,Omnivore,Least Concern,North America
296,Tracy Eagle,Williams Webster,Fish,Tundra,Omnivore,Endangered,Africa
297,Jacqueline Lizard,Davis Solis,Reptile,Wetlands,Herbivore,Endangered,Asia
298,Melissa Tiger,Adams Wiggins,Fish,Wetlands,Carnivore,Near Threatened,South America
299,Darin Shark,Stanton Kennedy,Fish,Caves,Carnivore,Near Threatened,Worldwide
300,Jasmine Python,Harris Young,Mammal,Grasslands,Herbivore,Vulnerable,North America
301,Caleb Bear,Hendrix Nelson,Fish,Forest,Omnivore,Near Threatened,South America
302,Jacqueline Crocodile,Taylor Dyer,Reptile,Tundra,Omnivore,Near Threatened,Antarctica
303,Stacy Wolf,Banks Mason,Reptile,Savannah,Omnivore,Least Concern,Europe
304,Michael Wolf,Young Torres,Amphibian,Mountains,Omnivore,Critically Endangered,Australia
305,Mary Puma,Fernandez Jones,Amphibian,Rivers,Omnivore,Near Threatened,Europe
306,David Puma,Cruz Mcdonald,Amphibian,Ocean,Carnivore,Vulnerable,South America
307,Shelia Owl,Noble Carroll,Mammal,Ocean,Omnivore,Vulnerable,Africa
308,Sara Wolf,Walker Burns,Reptile,Savannah,Omnivore,Critically Endangered,Asia
309,Casey Eagle,Campos Farrell,Mammal,Ocean,Carnivore,Least Concern,Europe
